articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
EXT_8_5_2015,115.4,114.2,mean,1.0398613518197597,MINOR_ERROR,NA
EXT_8_5_2015,110.5,111.4,mean,0.8144796380090549,MINOR_ERROR,NA
EXT_8_5_2015,110.5,109.7,mean,0.7239819004524861,MINOR_ERROR,NA
EXT_8_5_2015,63,62,mean,1.5873015873015872,MINOR_ERROR,NA
EXT_8_5_2015,58,58,mean,0,MATCH,NA
EXT_8_5_2015,21,21,mean,0,MATCH,NA
EXT_8_5_2015,76,76,mean,0,MATCH,NA
EXT_8_5_2015,77,77,mean,0,MATCH,NA
EXT_8_5_2015,50,50,mean,0,MATCH,NA
EXT_8_5_2015,2,2,df,0,MATCH,NA
EXT_8_5_2015,66,60,df,9.090909090909092,MINOR_ERROR,NA
EXT_8_5_2015,<1,0.5136701354493501,F,NA,MATCH,TRUE
EXT_8_5_2015,2,2,df,0,MATCH,NA
EXT_8_5_2015,72,72,n,0,MATCH,NA
EXT_8_5_2015,10.14,10.14,x2,0,MATCH,NA
EXT_8_5_2015,0.006,0.006,p,0,MATCH,NA
EXT_8_5_2015,0.38,0.38,phi,0,MATCH,NA
EXT_8_5_2015,2,2,df,0,MATCH,NA
EXT_8_5_2015,69,69,df,0,MATCH,NA
EXT_8_5_2015,4.77,4.84,F,1.4675052410901528,MINOR_ERROR,NA
EXT_8_5_2015,0.01,0.01,p,0,MATCH,NA
EXT_8_5_2015,0.123,0.123,pes,0,MATCH,NA
EXT_8_5_2015,46,46,df,0,MATCH,NA
EXT_8_5_2015,2.81,2.85,t,1.4234875444839872,MINOR_ERROR,NA
EXT_8_5_2015,0.007,0.007,p,0,MATCH,NA
EXT_8_5_2015,0.83,0.82,d,1.204819277108435,MINOR_ERROR,NA
EXT_8_5_2015,46,46,df,0,MATCH,NA
EXT_8_5_2015,2.51,2.51,t,0,MATCH,NA
EXT_8_5_2015,0.016,0.016,p,0,MATCH,NA
EXT_8_5_2015,0.74,0.73,d,1.3513513513513526,MINOR_ERROR,NA
EXT_8_5_2015,46,46,df,0,MATCH,NA
EXT_8_5_2015,0.072,0.108,t,50.000000000000014,MAJOR_ERROR,NA
EXT_8_5_2015,0.94,0.91,p,3.191489361702119,MINOR_ERROR,NA
EXT_8_5_2015,0.02,0.03,d,49.999999999999986,MAJOR_ERROR,NA
